timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665919159169,363,GetAllUsers,200,OK,Thread Group 1-129,text,true,,1795,772,250,250,https://reqres.in/api/users?page=2,197,0,0
1665919159169,197,GetAllUsers-0,301,Moved Permanently,Thread Group 1-129,,true,,666,386,250,250,http://reqres.in/api/users?page=2,197,0,0
1665919159366,166,GetAllUsers-1,200,OK,Thread Group 1-129,text,true,,1129,386,250,250,https://reqres.in/api/users?page=2,166,0,0
1665919159172,361,GetAllUsers,200,OK,Thread Group 1-38,text,true,,1791,772,250,250,https://reqres.in/api/users?page=2,194,0,0
1665919159172,194,GetAllUsers-0,301,Moved Permanently,Thread Group 1-38,,true,,662,386,250,250,http://reqres.in/api/users?page=2,194,0,0
1665919159366,167,GetAllUsers-1,200,OK,Thread Group 1-38,text,true,,1129,386,250,250,https://reqres.in/api/users?page=2,167,0,0
1665919159177,358,GetAllUsers,200,OK,Thread Group 1-52,text,true,,1785,772,250,250,https://reqres.in/api/users?page=2,189,0,0
1665919159177,189,GetAllUsers-0,301,Moved Permanently,Thread Group 1-52,,true,,666,386,250,250,http://reqres.in/api/users?page=2,189,0,0
1665919159366,169,GetAllUsers-1,200,OK,Thread Group 1-52,text,true,,1119,386,250,250,https://reqres.in/api/users?page=2,169,0,0
1665919159227,309,GetAllUsers,200,OK,Thread Group 1-177,text,true,,1793,772,250,250,https://reqres.in/api/users?page=2,147,0,0
1665919159227,147,GetAllUsers-0,301,Moved Permanently,Thread Group 1-177,,true,,670,386,250,250,http://reqres.in/api/users?page=2,147,0,0
1665919159374,162,GetAllUsers-1,200,OK,Thread Group 1-177,text,true,,1123,386,250,250,https://reqres.in/api/users?page=2,162,0,0
1665919158768,773,Homepage,200,OK,Thread Group 1-25,text,true,,7778,441,250,250,https://reqres.in/,773,0,0
1665919158812,732,Homepage,200,OK,Thread Group 1-22,text,true,,7786,441,250,250,https://reqres.in/,732,0,0
1665919158180,1365,GetAllUsers,200,OK,Thread Group 1-13,text,true,,1783,772,250,250,https://reqres.in/api/users?page=2,356,0,0
1665919158180,356,GetAllUsers-0,301,Moved Permanently,Thread Group 1-13,,true,,660,386,250,250,http://reqres.in/api/users?page=2,356,0,0
1665919158536,1009,GetAllUsers-1,200,OK,Thread Group 1-13,text,true,,1123,386,250,250,https://reqres.in/api/users?page=2,1009,0,0
1665919159076,473,PatchUser,200,OK,Thread Group 1-66,text,true,,774,471,250,250,https://reqres.in/api/users/2,473,0,0
1665919158838,715,Homepage,200,OK,Thread Group 1-33,text,true,,7789,441,250,250,https://reqres.in/,715,0,0
